date,value,GPD_per_capita,eu_prod_index
8/26/11,755504.8461,54230.3129,100.1
8/27/11,911124.8537,54230.3129,100.1
8/28/11,903084.1011,54230.3129,100.1
8/29/11,682642.0536,54230.3129,100.1
8/30/11,681016.5569,54230.3129,100.1
8/31/11,676122.8133,54230.3129,100.1
9/1/11,705296.2346,54230.3129,99.1
9/2/11,761372.6062,54230.3129,99.1
9/3/11,895440.2596,54230.3129,99.1
9/4/11,879233.3927,54230.3129,99.1
9/5/11,680307.056,54230.3129,99.1
9/6/11,687741.2493,54230.3129,99.1
9/7/11,687492.1084,54230.3129,99.1
9/8/11,698957.3983,54230.3129,99.1
9/9/11,763550.8168,54230.3129,99.1
9/10/11,845532.9944,54230.3129,99.1
9/11/11,901607.9062,54230.3129,99.1
9/12/11,695595.7855,54230.3129,99.1
9/13/11,680895.9332,54230.3129,99.1
9/14/11,636240.4028,54230.3129,99.1
9/15/11,682206.4238,54230.3129,99.1
9/16/11,742839.4926,54230.3129,99.1
9/17/11,869028.4897,54230.3129,99.1
9/18/11,879242.2091,54230.3129,99.1
9/19/11,696160.8442,54230.3129,99.1
9/20/11,692236.9579,54230.3129,99.1
9/21/11,677025.4041,54230.3129,99.1
9/22/11,691228.618,54230.3129,99.1
9/23/11,771056.1478,54230.3129,99.1
9/24/11,859657.2958,54230.3129,99.1
9/25/11,839676.2768,54230.3129,99.1
9/26/11,700298.5724,54230.3129,99.1
9/27/11,712979.5227,54230.3129,99.1
9/28/11,669757.6179,54230.3129,99.1
9/29/11,703210.8458,54230.3129,99.1
9/30/11,809275.352,54230.3129,99.1
10/1/11,869330.0186,54230.3129,98.8
10/2/11,894004.1782,54230.3129,98.8
10/3/11,660757.3984,54230.3129,98.8
10/4/11,661158.8352,54230.3129,98.8
10/5/11,687669.2231,54230.3129,98.8
10/6/11,706606.2443,54230.3129,98.8
10/7/11,717797.1577,54230.3129,98.8
10/8/11,869885.1363,54230.3129,98.8
10/9/11,896976.1757,54230.3129,98.8
10/10/11,692213.9508,54230.3129,98.8
10/11/11,673610.8239,54230.3129,98.8
10/12/11,676987.1466,54230.3129,98.8
10/13/11,699303.1957,54230.3129,98.8
10/14/11,785189.9662,54230.3129,98.8
10/15/11,884811.6123,54230.3129,98.8
10/16/11,901362.8062,54230.3129,98.8
10/17/11,695732.1668,54230.3129,98.8
10/18/11,671830.3532,54230.3129,98.8
10/19/11,673255.7757,54230.3129,98.8
10/20/11,707427.5713,54230.3129,98.8
10/21/11,831048.5305,54230.3129,98.8
10/22/11,903222.4571,54230.3129,98.8
10/23/11,908571.7824,54230.3129,98.8
10/24/11,725812.0805,54230.3129,98.8
10/25/11,727097.514,54230.3129,98.8
10/26/11,706813.795,54230.3129,98.8
10/27/11,687762.3747,54230.3129,98.8
10/28/11,797956.9025,54230.3129,98.8
10/29/11,913458.6969,54230.3129,98.8
10/30/11,912649.8236,54230.3129,98.8
10/31/11,724327.5733,54230.3129,98.8
11/1/11,735861.1549,54230.3129,99.1
11/2/11,634780.3056,54230.3129,99.1
11/3/11,709193.8937,54230.3129,99.1
11/4/11,801913.1748,54230.3129,99.1
11/5/11,951808.3194,54230.3129,99.1
11/6/11,945514.5145,54230.3129,99.1
11/7/11,704680.5062,54230.3129,99.1
11/8/11,721122.9091,54230.3129,99.1
11/9/11,705001.3429,54230.3129,99.1
11/10/11,705971.1832,54230.3129,99.1
11/11/11,837611.443,54230.3129,99.1
