y_pred_test,y_true_test,test_mse,test_rmse,test_r2_score,test_explained_variance,test_MAPE,test_sMAPE,base_model_path
871149.8978875699,965064.5346000000,,,,,,,
1031956.1097842385,1033275.1150000000,,,,,,,
1034760.1825471618,1140790.3110000000,,,,,,,
1054970.7368776938,1040282.5720000000,,,,,,,
931528.3726824252,765932.2007000000,,,,,,,
648838.5893229451,666599.8251000000,,,,,,,
631489.4345136092,663447.9311000000,,,,,,,
723951.4958367855,642946.2614000000,,,,,,,
729761.6954335918,775465.1335999999,,,,,,,
812332.6911641917,827252.4467000000,,,,,,,
787252.9298642838,827805.6647000000,,,,,,,
769485.9287613108,632468.1862000000,,,,,,,
557488.4564511501,655570.3381000001,,,,,,,
640913.8800926858,593276.6144000000,,,,,,,
658085.4976577631,626156.3332000000,,,,,,,
709663.6803880683,698518.4935000000,,,,,,,
735483.3477830817,801677.2865000000,,,,,,,
761421.7776331870,842675.2024000000,,,,,,,
784741.4590693092,638686.5395000000,,,,,,,
557933.3589850788,647436.2878000000,,,,,,,
626716.9857368525,637400.1993000000,,,,,,,
698396.6816201567,619101.0559000000,,,,,,,
699650.8369865392,716626.3480000000,,,,,,,
751858.4622508639,831687.8925000000,,,,,,,
793771.2149509302,788208.2663000000,,,,,,,
734545.9398800433,629272.5115000000,,,,,,,
559315.9492351690,590360.2242000001,,,,,,,
587214.4361957767,623150.5982000000,,,,,,,
701321.8726434975,609595.0975000000,,,,,,,
708147.7873188078,702548.9729000001,,,,,,,
751808.3342610650,770388.7770000000,,,,,,,
747950.3203082662,788353.3937000000,,,,,,,
751655.5982135955,609304.8195000000,,,,,,,
554592.8650173373,628155.8055000000,,,,,,,
623834.0527242284,599936.4301000000,,,,,,,
673660.4226051595,632126.2774000000,,,,,,,
722322.4807230106,723941.0144000000,,,,,,,
763710.4915232713,784525.0353000000,,,,,,,
746326.9791874252,792932.3601000000,,,,,,,
739153.0573068765,617097.6572000000,,,,,,,
544450.9773204539,610625.3885999999,,,,,,,
596876.5405406423,632672.2597000001,,,,,,,
695804.0753347776,618279.0673000000,,,,,,,
696636.6153009603,690777.7013000000,,,,,,,
718772.1021923999,798611.1189000000,,,,,,,
752850.9170720945,789288.9967000000,,,,,,,
726699.4869957942,557964.6182000000,,,,,,,
477005.0048591394,625858.4582000000,,,,,,,
608915.8033859751,574550.7177000000,,,,,,,
637359.8636039771,605426.2479000000,,,,,,,
683642.0540467185,710945.9501000000,,,,,,,
742244.3138889732,778303.9118999999,,,,,,,
732667.9859565436,760765.7818000000,,,,,,,
701573.7587966677,569449.9584000000,,,,,,,
496913.6424156580,575351.3804000000,,,,,,,
568373.5734938123,585191.7621000001,,,,,,,
659333.5367558138,607284.8219000000,,,,,,,
698654.6417938373,706354.1208000000,,,,,,,
747369.4114448351,793482.9107000000,,,,,,,
758747.3199583779,743135.5760999999,,,,,,,
695026.2232661864,628458.0770000000,,,,,,,
564880.4638735822,589724.5824000000,,,,,,,
588689.6707947168,584791.1507999999,,,,,,,
661355.4653439202,598279.4371000000,,,,,,,
696147.4758958708,623905.6270000000,,,,,,,
666670.4263777654,749425.8021000000,,,,,,,
720211.2855971416,775821.5995000000,,,,,,,
731175.2843305805,582133.4335000000,,,,,,,
512425.3982615700,563156.9923000000,,,,,,,
553182.4160631493,567375.6954000000,,,,,,,
637850.6248764526,551128.3824999999,,,,,,,
639568.0564989304,659125.6382000000,,,,,,,
697338.7018725353,757896.6108000000,,,,,,,
719219.2520162991,718934.0263000000,,,,,,,
661547.5509700618,601896.6300000000,,,,,,,
524417.8833201427,532508.1088000000,,,,,,,
515803.6749011684,572469.5866000000,,,,,,,
633063.6029448798,559829.2767000000,,,,,,,
640578.6415596862,644818.2672999999,,,,,,,
674103.0950504647,740611.7163000000,,,,,,,
696606.6978104251,775339.1706000000,,,,,,,
