Trial,refitting_cycle,process_time_s,real_time_s,params,note
69,,0.9764009999999956,0.4424309730529785,"{'standardize_X': True, 'alpha_1': 444.8715078645806, 'alpha_2': 271.8423109639246, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
70,,1.2197859999999991,0.5308971405029297,"{'standardize_X': True, 'alpha_1': 63.30782559037783, 'alpha_2': 315.5812126349313, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
71,,0.9751329999999996,0.4479398727416992,"{'standardize_X': True, 'alpha_1': 427.52223826429275, 'alpha_2': 163.670630913749, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
72,,0.9368820000000113,0.4350731372833252,"{'standardize_X': True, 'alpha_1': 519.8252783349138, 'alpha_2': 648.9542009611915, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
73,,1.176168000000004,0.5130231380462646,"{'standardize_X': True, 'alpha_1': 187.16643349710574, 'alpha_2': 153.37535400364206, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
74,,1.1904870000000045,0.736943244934082,"{'standardize_X': True, 'alpha_1': 692.4100630600594, 'alpha_2': 264.0003741859782, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
75,,1.1337119999999885,0.5045597553253174,"{'standardize_X': True, 'alpha_1': 225.01548523756003, 'alpha_2': 40.838905641713104, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
76,,nan,nan,"{'standardize_X': True, 'alpha_1': 411.4891124518668, 'alpha_2': 768.3546268332403, 'lambda_1': 1e-05, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",pruned
77,,1.151245000000003,0.5104448795318604,"{'standardize_X': True, 'alpha_1': 139.95160246061013, 'alpha_2': 197.3996594631799, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
78,,nan,nan,"{'standardize_X': False, 'alpha_1': 248.53939774427744, 'alpha_2': 58.18296916026262, 'lambda_1': 0.001, 'lambda_2': 1e-05, 'threshold_lambda': 1000000.0}",pruned
79,,0.5976050000000015,0.332592248916626,"{'standardize_X': True, 'alpha_1': 710.3660429611175, 'alpha_2': 360.67296354099443, 'lambda_1': 1e-05, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
80,,nan,nan,"{'standardize_X': True, 'alpha_1': 352.2487591902377, 'alpha_2': 138.7284140855556, 'lambda_1': 0.01, 'lambda_2': 0.0001, 'threshold_lambda': 100000.0}",pruned
81,,1.042076999999992,0.4883279800415039,"{'standardize_X': True, 'alpha_1': 429.691467909188, 'alpha_2': 81.62902678721532, 'lambda_1': 1e-06, 'lambda_2': 0.01, 'threshold_lambda': 1000000.0}",successful
82,,nan,nan,"{'standardize_X': True, 'alpha_1': 452.06301956019445, 'alpha_2': 64.87348562063048, 'lambda_1': 1e-06, 'lambda_2': 0.01, 'threshold_lambda': 1000000.0}",pruned
83,,1.1105220000000031,0.4980580806732178,"{'standardize_X': True, 'alpha_1': 265.3167503383132, 'alpha_2': 114.37958984040212, 'lambda_1': 1e-06, 'lambda_2': 0.01, 'threshold_lambda': 1000000.0}",successful
84,,0.9454800000000034,0.4408998489379883,"{'standardize_X': True, 'alpha_1': 680.8933000152907, 'alpha_2': 22.29822369129219, 'lambda_1': 1e-06, 'lambda_2': 0.01, 'threshold_lambda': 1000000.0}",successful
85,,nan,nan,"{'standardize_X': True, 'alpha_1': 114.48345976600278, 'alpha_2': 251.66836339018224, 'lambda_1': 0.1, 'lambda_2': 1e-06, 'threshold_lambda': 1000000.0}",pruned
86,,nan,nan,"{'standardize_X': True, 'alpha_1': 448.13028524697273, 'alpha_2': 33.18495220790743, 'lambda_1': 10, 'lambda_2': 0.01, 'threshold_lambda': 1000000.0}",pruned
87,,1.252165000000005,0.5556831359863281,"{'standardize_X': True, 'alpha_1': 79.75340582608555, 'alpha_2': 89.14433381774096, 'lambda_1': 1e-06, 'lambda_2': 0.001, 'threshold_lambda': 10000.0}",successful
88,,nan,nan,"{'standardize_X': True, 'alpha_1': 198.07374289420187, 'alpha_2': 988.0218936073572, 'lambda_1': 1, 'lambda_2': 1e-05, 'threshold_lambda': 1000000.0}",pruned
89,,0.9041400000000124,0.4373950958251953,"{'standardize_X': True, 'alpha_1': 847.3270840390949, 'alpha_2': 481.4223958967553, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
90,,1.00147299999999,0.4717600345611572,"{'standardize_X': True, 'alpha_1': 310.5809256244077, 'alpha_2': 351.0565767329033, 'lambda_1': 1e-05, 'lambda_2': 10, 'threshold_lambda': 100000.0}",successful
91,,1.022757999999996,0.47383785247802734,"{'standardize_X': True, 'alpha_1': 426.50419988428473, 'alpha_2': 67.24536052061427, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
92,,0.9941450000000032,0.47263216972351074,"{'standardize_X': True, 'alpha_1': 497.95554712626017, 'alpha_2': 178.72788643322892, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
93,,1.2543900000000008,0.5610377788543701,"{'standardize_X': True, 'alpha_1': 152.56986934710562, 'alpha_2': 77.53052139325321, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
94,,1.159200999999996,0.5509130954742432,"{'standardize_X': True, 'alpha_1': 255.60070449734386, 'alpha_2': 48.06643743266896, 'lambda_1': 1e-06, 'lambda_2': 1, 'threshold_lambda': 1000000.0}",successful
95,,0.9131490000000042,0.4511559009552002,"{'standardize_X': True, 'alpha_1': 763.4685374199568, 'alpha_2': 107.09056585949395, 'lambda_1': 1e-06, 'lambda_2': 0.01, 'threshold_lambda': 100.0}",successful
96,,nan,nan,"{'standardize_X': False, 'alpha_1': 372.1722476932827, 'alpha_2': 153.84738827178828, 'lambda_1': 1e-06, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",pruned
97,,nan,nan,"{'standardize_X': True, 'alpha_1': 448.0171512602021, 'alpha_2': 19.24790309525909, 'lambda_1': 1e-05, 'lambda_2': 0.1, 'threshold_lambda': 100000.0}",pruned
98,,0.9891089999999991,0.45980215072631836,"{'standardize_X': True, 'alpha_1': 546.6357157764644, 'alpha_2': 33.39298205859895, 'lambda_1': 1e-06, 'lambda_2': 0.0001, 'threshold_lambda': 1000.0}",successful
99,,0.7016989999999907,0.36896204948425293,"{'standardize_X': True, 'alpha_1': 979.9099500635963, 'alpha_2': 249.18144121983374, 'lambda_1': 0.001, 'lambda_2': 10, 'threshold_lambda': 10000.0}",successful
100,,nan,nan,"{'standardize_X': True, 'alpha_1': 213.79719497726464, 'alpha_2': 58.83994964535025, 'lambda_1': 0.0001, 'lambda_2': 0.001, 'threshold_lambda': 100.0}",pruned
101,,0.9747890000000012,0.563878059387207,"{'standardize_X': True, 'alpha_1': 344.569953511897, 'alpha_2': 87.13620220843423, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
102,,0.9051230000000032,0.5396280288696289,"{'standardize_X': True, 'alpha_1': 571.154027596596, 'alpha_2': 136.8349987428501, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
103,,1.539301000000009,0.8821098804473877,"{'standardize_X': True, 'alpha_1': 167.97431828577925, 'alpha_2': 69.14618707736003, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
104,,1.0916519999999963,0.5366160869598389,"{'standardize_X': True, 'alpha_1': 318.10781733060827, 'alpha_2': 40.24864425912958, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
105,,0.9189879999999988,0.444105863571167,"{'standardize_X': True, 'alpha_1': 718.2114134617626, 'alpha_2': 625.3665066738882, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 1000000.0}",successful
106,,nan,nan,"{'standardize_X': True, 'alpha_1': 129.51450633979195, 'alpha_2': 202.67276834132505, 'lambda_1': 0.01, 'lambda_2': 1e-05, 'threshold_lambda': 100.0}",pruned
107,,1.0984940000000023,0.5233869552612305,"{'standardize_X': True, 'alpha_1': 239.60016690077802, 'alpha_2': 25.77781378248093, 'lambda_1': 1e-05, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",successful
